teacher_id,first_name,last_name,dob,gender,email,phone_number,password,national_id,register_date,province,address,status,major
T1,Sarah,Nguyen,1967-06-16,male,sarah.nguyen1@example.com,8972729974,c16388900de598d615acce7271e5fa73e4a90173f7ef960a8c592ce3da2ed4e3,336374602536,2021-03-27,New Hampshire,"163 Thomas Walks Suite 771, South Ashleyburgh, KS 69751",1,English
T2,Vanessa,Daniel,1993-05-23,male,vanessa.daniel2@example.com,4830366176,3b24286dc16c78213cfcb9421765aeb2c7160c5fed30aebea1320997cca0e6eb,806193936708,2023-06-28,Massachusetts,"USNS Garcia, FPO AE 44467",1,Computer Science
T3,Victoria,Robinson,1998-07-21,female,victoria.robinson3@example.com,7499922974,f724a0522c072fc41061075d35be59c86abf8bdebd95d2092b86bf3e56feaea7,906393012689,2023-12-14,Georgia,"0894 Erin Mountains Apt. 699, North Jeremiahside, WV 26917",1,Biology
T4,Robert,Smith,1975-06-26,male,robert.smith4@example.com,3429896937,7f916788eb39d5db7df4aa38c2cc1f677a1541459b2f01b8ad87f6bc53af712c,983320101592,2025-03-25,Mississippi,"8826 Bonnie Mission Suite 792, Port Kevin, IL 96204",1,Computer Science
T5,Lauren,Salazar,1972-10-29,male,lauren.salazar5@example.com,4729566092,ef3d46506380d23d099a877aa4bc34c93a77eb210188fb22c5fa20003b89d54f,649081635232,2022-09-29,Oregon,"520 John Ridges, South Deanna, WI 44239",1,Physics
T6,Carlos,Wallace,1986-03-01,female,carlos.wallace6@example.com,7983467884,51ee288ddc71fafc25a1f420030170e951f072fc36ebcf586cd10f6028b9395e,932150614964,2024-01-11,Alaska,"3363 Jones Plains Suite 196, Ballardchester, OH 97331",1,English
T7,Fernando,Hill,1972-07-20,male,fernando.hill7@example.com,4568056567,b7ca8a47d2ddfc4a835adcf1d79df966c53f7cf33741b53e39db60750a9d52a0,347832000455,2020-02-03,Mississippi,"049 Curry Ville Suite 905, Sheltonchester, CA 49122",1,Biology
T8,Sheryl,Mccarthy,1965-11-11,female,sheryl.mccarthy8@example.com,5285624843,cb0f20428239daacb933ecf93bbc030c57a74b579607c1f545cee4a980275358,400044783100,2024-09-08,Alabama,"67598 Michael Divide Suite 995, Jacobston, WA 18428",1,English
T9,Mckenzie,Fisher,1996-09-11,female,mckenzie.fisher9@example.com,8368547296,fedce2e673cf6f9212c778b1c4d843f825b8609f0663c33891bdd34288a35049,227884967439,2022-10-30,Florida,"730 Bell Harbor Suite 101, New Vickie, VT 26073",1,Computer Science
T10,Katherine,Warner,1979-11-07,male,katherine.warner10@example.com,8078550352,97338b112958546ef460b1d6f0bbfab08023925b51017cfc5d65435f57e2b749,549365489624,2023-04-17,New York,"505 Edwards Springs Suite 892, Sandovalborough, CO 35821",1,Biology
T11,Hailey,Jones,1988-08-24,male,hailey.jones11@example.com,3498147201,246a14cd7be9896c5e9719185b9363c9e79abd192da6f80ce87acaa4b2558020,997992749295,2022-03-09,Illinois,"171 Jackson Shore, East Karenside, IN 48198",1,Computer Science
T12,Angela,Davis,1979-09-11,female,angela.davis12@example.com,6598652178,1b0572e1bd437c5c58850973374ea8e6d6be9e21b5e71e1e0853155a307b04df,494106326841,2024-07-21,Ohio,"3991 Young Extension, Shawnberg, MN 80585",0,Computer Science
T13,Nathaniel,Johnson,1974-04-11,male,nathaniel.johnson13@example.com,3417021268,47f4e18de864d5394473429e31063d851fa3cd6a41033cfcd5555a23e61c7346,568699694135,2023-01-09,Colorado,"25408 Powers Mills Apt. 189, Robertshire, AL 38736",0,Physics
T14,Jenna,Sheppard,1971-02-22,male,jenna.sheppard14@example.com,803930660,6fb19d43a93d523fc1a0012cdac6e8adb8cd411216bfb51e4c3f02a2f26df7f6,749712627608,2020-05-07,Texas,"54395 Carl Ranch, Nelsonburgh, TN 03057",0,Biology
T15,Victoria,Mercer,1998-10-23,female,victoria.mercer15@example.com,7157741529,e34f3b051bf5ac7472dfe57a1900250c28e20cdf5bba2719d3eb04a06cf76901,351925041066,2023-07-29,Maryland,"8843 Mcmahon Spurs Suite 549, East Lauraberg, IL 19075",0,English
T16,Jared,Wilkins,1996-05-09,female,jared.wilkins16@example.com,4837569494,668a45cb3611f471407899d06865703e7a946b0e03e8b297d20ae4b057667d7a,935471881572,2024-10-24,Missouri,"34161 Karen Crescent, Brittanyshire, NH 82453",0,Physics
T17,Jeremy,Smith,1972-11-29,male,jeremy.smith17@example.com,5417988697,1c058e61a45dcf10993cdcea744f61244f45d6e5faaf8430176b0c37aa421365,431673556660,2020-05-23,West Virginia,"969 Ray Mountains, New Rickyshire, CT 35483",0,Biology
T18,Dominique,Campbell,1966-01-03,female,dominique.campbell18@example.com,979827525,8b6cd150bed882387ee6a8f8282dbd9265978bb39d51fb562b867b45a9cdb37a,679633608788,2023-01-28,Florida,"44092 Rodney Springs, Carrmouth, RI 46977",1,Mathematics
T19,Maria,Lambert,1966-06-19,male,maria.lambert19@example.com,4903040701,c62590ba8bf78eae94abfe5d87df95683d02ac435e68286e16a13b9738c1b922,485841858247,2023-11-27,Nevada,"5180 Fritz Row, Mcdonaldshire, NH 58149",1,Mathematics
T20,Andrew,Montes,1974-04-30,male,andrew.montes20@example.com,3509265761,5bdf238dd249a1130d3df8fbaf492fed55aaaddef7723104945be3f0eacd1f92,257747309835,2020-07-06,Maryland,"04790 Ortega Club, Flowersshire, VT 35418",1,Computer Science
T21,Andrew,Ross,1965-09-01,female,andrew.ross21@example.com,6293036682,c974a1c1574ad9d804d8286eabfdad4116bb6bb4f9eb60335b14273e6daef314,497890538414,2022-05-03,Arizona,"591 Matthew Overpass Suite 947, New Kim, VT 82806",1,Physics
T22,Eric,Mitchell,1967-11-02,female,eric.mitchell22@example.com,4640938229,830be8b1861957fd61b5ba006ad52a47d1cb073e503c4553a4c9b70a9b9fd62f,589647892561,2024-02-13,Idaho,"5525 Amanda Fork, Lake Kevin, ME 12846",1,English
T23,Ryan,Garcia,1992-07-08,male,ryan.garcia23@example.com,926147501,18d21fe6548a5617a490ede5defcb2b7031394893adc80dd4142949e0893de33,462915186554,2025-01-12,Alabama,"901 Tyler Burgs, North Susan, AR 14021",1,Computer Science
T24,Renee,Castillo,1994-11-20,male,renee.castillo24@example.com,7739572527,7b02b14c03d881530decdb43dabb1a3877e599fef47ef2908cce0cc08dc0c215,905337792491,2021-10-31,Mississippi,"87708 Jim Alley Suite 064, Moonville, WA 31306",1,Biology
T25,Colin,Carr,1964-10-20,male,colin.carr25@example.com,752625251,2b8b38cfa28d19b64bf1bbf1dd4e43debc616ef50ccbea9bb2dc94e037491093,564852363558,2020-12-29,Ohio,"253 Carmen Extensions Suite 845, West Susan, ME 02517",1,Mathematics
T26,Rodney,Haley,1977-10-13,female,rodney.haley26@example.com,41823285,66b1cc89ee37c3e5867a7b3ce37c93e0e26791059abe8fe46b8222be985ea6e9,849372885800,2023-02-05,Washington,"520 Jeffrey Forks Apt. 783, Marshallbury, NJ 41830",1,Physics
