guardian_id,student_id,first_name,last_name,dob,phone_number,province,address
1,S001,Dennis,Nguyen,1984-08-06,(422)987-9231,Nebraska,"63258 Cody Camp Suite 030 West Kimberlyton, VT 80898"
2,S002,Tracy,Taylor,1982-03-01,515-471-6912,Washington,"8236 Jessica Roads Adamsport, HI 05706"
3,S003,Heather,Kent,1983-03-06,+1-222-022-8191,Arkansas,USNS Jackson FPO AP 61263
4,S004,Richard,Thompson,1975-05-30,788-673-7474,South Carolina,Unit 9330 Box 4536 DPO AA 30451
5,S005,Christine,Scott,1968-12-09,(442)255-6288,Minnesota,"25485 Johnson Lodge Suite 388 Thompsonview, NY 16750"
6,S006,Brooke,Phillips,1966-04-25,520433813,Illinois,"PSC 3925, Box 5822 APO AP 73724"
7,S007,Bryan,Moore,1965-11-02,220-894-6383,Pennsylvania,"9038 Randolph Pines Kristimouth, MA 44737"
8,S008,Ashley,Lambert,1981-07-11,6929595827,Washington,"670 Reed Station Apt. 724 Chandlerport, AK 62453"
9,S009,Isaac,Gonzalez,1964-07-24,474.197.5387,Alaska,"966 Matthew Ports Apt. 552 Jeffreyland, ME 46309"
10,S010,Amanda,Gomez,1979-03-05,439-679-7481,Arizona,"3458 Brooks Burg Apt. 711 East Edwin, IA 66999"
11,S011,Curtis,Moreno,1964-06-18,270-767-1359,Iowa,"1292 Michael Well Apt. 811 Port Richard, UT 58065"
12,S012,Katrina,Thompson,1982-10-17,(360)648-1237,Illinois,"PSC 7295, Box 6909 APO AP 38125"
13,S013,Todd,Cook,1970-09-07,+1-608-559-7396,New Hampshire,"97508 Erica Estates Apt. 483 Christineview, RI 81985"
14,S014,Kevin,Cooper,1968-03-27,(677)001-7665,New Hampshire,"PSC 1306, Box 7755 APO AP 66919"
15,S015,Benjamin,Lambert,1980-05-13,536-964-3892,New Jersey,"8035 Robert Rest Apt. 348 Sototown, VT 31279"
16,S016,Catherine,Gutierrez,1972-03-03,2211619013,Pennsylvania,"652 Teresa Causeway Apt. 091 Williamsonville, NM 64845"
