student_id,first_name,last_name,dob,gender,email,phone_number,password,national_id,register_date,province,address,status
S001,Heidi,Brock,2003-12-20,female,yconley@hotmail.com,(742)736-1556,#o*3CpAM2x,771-38-2136,2025-02-15,Nebraska,"80386 Michael Track Suite 492 East Dennis, NC 36147",1
S002,Michael,Hartman,2006-02-21,female,cartermark@hotmail.com,347-720-8431,E8oChmMv^),516-67-4467,2025-02-01,Washington,"086 Briggs Hill Apt. 122 East Christine, OR 48094",1
S003,Kimberly,Clark,2005-07-14,male,nguyencharles@williamson.com,3126175854,N&U9$4Xm(),335-74-0682,2025-02-02,Arkansas,"38791 Alexander Springs New Gregoryview, WA 00809",1
S004,Ashley,Hutchinson,2003-12-03,female,norma06@lopez.com,6185654773,hK8!WB%u6&,204-95-7033,2025-03-17,South Carolina,"1704 Carr Manor New Andrew, WY 73154",1
S005,Victoria,Hunter,2006-01-12,female,moorebrianna@jimenez-newton.com,(514)823-2968,$3HtN6sC+e,564-57-5583,2025-01-01,Minnesota,"42142 Erin Village Longshire, FL 01592",1
S006,Brandon,Archer,2002-07-05,male,shawna30@nguyen.com,500-010-7394,S1BmH1Gp@l,372-25-6928,2025-03-19,Illinois,"010 Johnston Trail Deanfurt, AZ 14332",1
S007,Jessica,Woods,2002-06-09,male,amy70@hotmail.com,497.150.8947,w%57eTy6#h,506-53-8149,2025-01-18,Pennsylvania,"2046 Barron Land Michelleshire, NV 25249",1
S008,Stephen,Benton,2004-12-14,male,pachecotracy@lin-garcia.com,+1-614-435-9222,(gsE!3Nwo!,266-08-4894,2025-02-26,Washington,"036 Ingram Track Melissamouth, IA 55841",1
S009,Keith,Powell,2004-09-07,male,sharpcarly@gmail.com,566-985-2675,Bu4zA0xh!9,465-68-5770,2025-01-06,Alaska,"3156 Jackson Key Suite 944 North Kaitlyn, VT 54588",1
S010,Jenny,Foster,2003-10-07,female,timothygrant@hotmail.com,022.227.0957,Dq%K4Dtl5@,366-14-5018,2025-02-21,Arizona,"0474 Rebecca Curve Apt. 323 Michaelberg, ND 20476",1
S011,Patricia,Bailey,2006-12-23,male,vmartin@yahoo.com,020.561.8084,Z)3WgQqeci,634-68-4329,2025-03-08,Iowa,"248 Julie Locks Apt. 506 North Brittanyview, KS 64123",1
S012,Christine,Elliott,2005-04-03,male,omyers@booth.com,739-454-4150,I8USRHdt&A,412-04-3643,2025-02-25,Illinois,"63039 Brown Fall Port Paulaborough, VA 01887",1
S013,Andrew,Rodriguez,2002-12-15,male,pauljenkins@hotmail.com,9166798166,7$X7JfBHFn,475-42-3798,2025-03-23,New Hampshire,Unit 3384 Box 9051 DPO AE 72106,1
S014,Barbara,Harvey,2003-07-09,female,courtney51@yahoo.com,8761809394,%HDUn%QxD7,506-49-1137,2025-03-08,New Hampshire,"529 Malone Rapids Apt. 097 Lake Josephside, KY 06612",1
S015,Kara,Fisher,2003-11-02,male,jacksonmichelle@hotmail.com,264-637-3295,!18CZQw0x0,031-99-7519,2025-01-13,New Jersey,"10110 Hayes Burgs Apt. 072 South Paulfurt, NY 25443",1
S016,Vickie,Reyes,2005-06-10,male,wellspatricia@yahoo.com,5680030028,_6fcT8Xd3O,032-87-9993,2025-02-02,Pennsylvania,"6959 Griffin View Suite 770 Lake Nicholastown, LA 82538",1
S017,Alice,Davis,2005-09-06,male,webbmichael@townsend-johnson.com,178.150.0816,6ANQUom0)f,365-99-1399,2025-03-27,Iowa,"8471 Charles Lake Suite 927 Allenmouth, ND 71174",1
S018,Tyler,Park,2004-05-14,female,joel12@valdez.com,276-479-8267,*syAoCoB3w,650-40-1136,2025-01-22,Utah,"06045 Shawn Rapids Velazquezton, ID 61035",1
S019,Sarah,Jones,2004-05-01,female,fmarshall@yahoo.com,+1-627-478-9052,^jD)*1Xpij,283-62-7817,2025-03-26,North Dakota,"543 Randy Avenue Dillonchester, NM 05466",1
S020,Erica,Hayes,2006-06-13,male,denisesanchez@gmail.com,852.016.6955,)S^8JWelqD,432-44-5239,2025-03-16,Montana,"125 Rice Lights Suite 618 Stephenfurt, MA 70098",1
S021,Anthony,Levine,2003-03-21,male,ldoyle@yahoo.com,092.402.4923,J&W0XucH6n,063-88-0787,2025-02-09,Wisconsin,"98169 Clark Trail North Marcus, TN 62263",1
S022,Drew,Sanford,2003-05-24,female,ronaldmalone@weber.info,(080)503-3520,%fA0pRJN8p,175-81-2342,2025-01-31,Vermont,"53529 Daniel Unions Port Patriciaview, SD 83866",1
S023,Brad,Goodwin,2005-07-31,female,ellisonmonica@hotmail.com,4501191244,+7YHhPQ1dk,754-64-9175,2025-02-26,Hawaii,"0627 Cook Trace North Andrewstad, UT 10051",1
S024,Wendy,Frank,2003-06-28,female,jennifer57@martinez.com,124-862-8320,33yX@$uB*k,372-65-0661,2025-02-27,Nebraska,"PSC 3064, Box 2434 APO AE 04964",1
S025,Jennifer,Owen,2005-06-02,male,coreyross@griffin.com,(610)845-2903,yJ5BFvy)&6,048-06-1213,2025-01-20,Wisconsin,"16276 Rodriguez Forge Suite 126 Johnberg, MN 55148",1
S026,Kevin,Morris,2003-07-27,female,fbrady@santiago-washington.com,(534)236-3113,&lTwXAMNH6,372-42-2066,2025-02-15,New York,"46281 Jessica Keys Apt. 928 Elizabethberg, AL 65920",1
S027,Corey,Ward,2003-06-16,male,sonia99@gmail.com,(370)315-4157,eYvr6o2y#^,419-94-7119,2025-02-04,Michigan,USNV Evans FPO AA 81405,1
S028,Marc,Wilcox,2007-01-07,male,bellthomas@bryan.org,880322383,K5C6OpiEm$,678-73-3466,2025-03-16,Alabama,"515 Lewis Village Apt. 747 Carrilloside, KY 98483",1
S029,Matthew,Craig,2005-04-11,male,david56@gmail.com,015.276.8559,!9OQxs$1oY,617-85-0686,2025-03-09,Iowa,"7826 Adams View Pattersonview, MN 16208",1
S030,Michael,Mclaughlin,2006-08-27,male,wardjeffery@sanchez.com,6046028410,3$K(02NxH@,280-68-8271,2025-02-15,Montana,"540 Olivia Forge Suite 279 Katiemouth, WA 19102",1
S031,Kristin,Lawson,2003-12-16,female,arthur11@williams.com,(119)069-4573,)5RCZ4tp#t,472-01-9483,2025-01-14,Oklahoma,"491 Haynes Squares Suite 001 Jenniferview, AR 76781",1
S032,Kimberly,Cox,2006-01-31,female,stephaniehodges@gmail.com,+1-537-446-6141,%^^bwVf4gT,225-86-0547,2025-01-02,Kansas,"072 Melanie Fall Stephentown, MA 06046",1
S033,Veronica,Walters,2004-05-26,male,williamcarpenter@howell-barnett.org,(330)784-3097,6fFB&jGe(0,841-15-7356,2025-01-17,South Carolina,"49548 Joseph Port Apt. 656 Vaughanchester, NY 15133",1
S034,Jessica,Schneider,2004-12-30,male,vlittle@wilson-ford.com,889.823.7206,_cZJasDan7,456-38-2334,2025-01-29,Massachusetts,"8915 Ross View North Brian, NC 06293",1
S035,Felicia,Zhang,2003-06-18,female,thomashayes@yahoo.com,873.681.5649,+GDkO*iq5*,363-96-7641,2025-03-13,Missouri,"58166 Murphy Street Suite 251 Port Lindaborough, GA 17801",1
S036,Courtney,Tucker,2005-08-16,female,rodriguezchelsea@yahoo.com,859-016-6798,uc#0DHeZ_^,279-87-1517,2025-03-21,Nebraska,"9841 Dickerson Lights Perryland, WI 96726",1
S037,Jenny,Perez,2004-12-13,male,mark30@payne.com,(601)742-3486,D+7UFhBz^M,102-11-7112,2025-03-21,Nevada,"1086 Jones Neck Apt. 695 New Anthonytown, OR 75454",1
S038,Marissa,Kim,2005-05-01,female,amanda73@mitchell-cox.com,158-239-2011,(6fZ1Wsvk#,291-60-4399,2025-01-05,Utah,"PSC 8332, Box 4039 APO AA 83777",1
S039,Patricia,Riggs,2005-12-27,female,edwardsjennifer@moore-walsh.com,529.467.3842,&7JkKurW%F,848-51-4748,2025-01-04,Alaska,"87897 Megan Fork Kimton, OR 74715",1
S040,Brenda,Hudson,2006-11-26,male,robinsonbrandon@hotmail.com,421.216.5415,nT6CFSda%5,515-61-6805,2025-01-29,California,"554 Branch Center Lake Sheila, TN 99095",1
S041,Mary,Nash,2003-11-08,female,vleon@yahoo.com,+1-637-388-3599,q)2G(LybX(,816-97-7388,2025-01-08,Michigan,"PSC 6336, Box 0149 APO AP 49214",1
S042,Frank,Sanchez,2006-01-01,male,guerrajoyce@gmail.com,(050)989-7475,w&H6H*tuJK,856-73-0909,2025-03-12,Utah,"PSC 3311, Box 3603 APO AA 16036",1
S043,John,Dawson,2004-01-18,female,deannareynolds@mcdowell.net,408-350-8408,q2lna1Ye#@,435-96-8848,2025-03-24,Texas,"94863 Rodriguez Trafficway Suite 318 Amyberg, NY 05503",1
S044,Glenda,Hendrix,2005-04-24,male,dwells@adkins.net,+1-134-671-5031,7s6rPilG!7,142-44-0933,2025-01-26,New Mexico,"781 Brenda Isle Robertbury, ND 94157",1
S045,Matthew,Davila,2004-07-19,male,wilkersonjames@gmail.com,6416663062,*oB5Tzj0z&,774-39-9340,2025-02-23,Nebraska,"4619 Barton Rue Apt. 371 Lake Michael, NY 86525",1
S046,Andrew,Sanchez,2003-01-21,male,vherrera@gmail.com,+1-360-865-5721,L5EzHLYl%^,192-90-2651,2025-02-17,North Dakota,"51067 Moore Bridge Jamesville, IA 32680",1
S047,Desiree,Morrison,2002-11-25,female,fergusonshane@gmail.com,(895)101-3216,x!s562Pr^5,353-69-4373,2025-02-26,Vermont,"9030 Banks Track Apt. 095 Salazarshire, TX 71745",1
S048,Kelly,Hahn,2004-03-28,female,mooreashley@hotmail.com,338-352-5525,cKZvSt)K^4,390-63-6979,2025-03-25,North Carolina,"2523 Christopher Points Apt. 454 Baileymouth, KY 26583",1
S049,Zachary,Ortiz,2004-11-18,female,dean79@gmail.com,1827253319,*+Cme9BK$9,403-63-1024,2025-01-17,Mississippi,USNV Lewis FPO AA 21517,1
S050,Christopher,Vaughn,2004-01-22,female,morganbrenda@gmail.com,496-631-8856,G7WiprXc!!,309-55-2303,2025-02-26,Mississippi,USNV Shelton FPO AA 87195,1
S051,Julie,Jackson,2002-11-18,female,zwhite@patton.com,9057273911,5%8BuDk**q,135-29-8878,2025-01-26,Rhode Island,"2059 Jared Squares Janetport, HI 96627",1
S052,Jeremy,Turner,2002-07-13,male,jrice@brown.com,451.636.0019,z+pT71V^Rf,295-54-7704,2025-01-17,Colorado,"4924 Travis Ports Suite 886 Port Janice, SC 52506",1
S053,Kimberly,Jimenez,2006-11-16,female,icraig@gmail.com,(317)238-2528,rF5Io^od!z,506-91-4002,2025-01-10,New York,"255 Scott Trail Hernandezstad, NC 80260",1
S054,Charles,Williams,2004-04-18,male,gregoryhenderson@yahoo.com,(774)101-5936,O&5cbeEvLB,714-76-9200,2025-01-02,Illinois,"761 Robinson Hill Apt. 101 Claireshire, GA 20991",1
S055,Darin,Hodge,2005-02-12,male,dennismiller@hotmail.com,(057)685-9484,R)IP(6Lf1P,149-12-5809,2025-03-19,Mississippi,"215 Karen Port Suite 300 Donaldport, DE 24111",1
S056,Samantha,Pope,2006-03-26,female,kirk86@branch-medina.com,719-854-0749,&_+CNlzTX8,756-01-4818,2025-02-22,Idaho,"9014 Kimberly Highway Suite 058 Longview, NC 33163",1
S057,Seth,Bryant,2002-07-10,female,albertsmith@hotmail.com,591.094.6656,47UdOQG5@a,795-54-2730,2025-03-09,California,"815 Williams Crossing Bethanyberg, GA 30879",1
S058,Dana,Gibson,2006-02-18,male,mark20@yahoo.com,064-414-6538,N$Mmq3TxPW,190-04-5317,2025-01-31,Oregon,"420 Miller Villages Apt. 790 South Traceyport, TX 27322",1
S059,Brandon,Aguirre,2002-10-10,male,david75@carpenter.com,(849)203-2581,)4Vr4RRo2h,040-49-5343,2025-01-27,Washington,"183 Joshua Divide East Jamesville, FL 42805",1
S060,John,Matthews,2002-08-08,female,qmiller@johnson.com,(193)516-7400,@5oSELe3_r,342-69-9775,2025-02-15,West Virginia,"103 Ryan Pass Nicholasbury, NE 23932",1
S061,Donna,Hoffman,2004-12-29,male,lewisdana@hotmail.com,(150)053-9219,T6Ff6+3#)q,131-28-9581,2025-02-23,Maine,"6190 Hailey Bypass Apt. 038 Judyland, KS 80968",1
S062,Angela,Krueger,2005-04-02,male,phillipsjennifer@zamora.net,(054)822-8399,l1Ny_GWr_),485-41-7188,2025-03-29,Kentucky,"7001 Farmer Lights Suite 236 Cherylburgh, IL 90284",1
S063,Tyler,Gillespie,2006-07-27,male,williamsaaron@gmail.com,515.371.0265,f^bV8MUi$A,466-31-9155,2025-03-18,Louisiana,"4417 Kenneth Points East Brookeberg, IL 98742",1
S064,Michael,Frey,2006-08-16,male,floresjacqueline@sanchez.info,(498)719-8536,C_UN9A_&6s,290-39-8266,2025-01-31,California,"83249 Bennett Curve Apt. 584 Vanceshire, WA 71060",1
S065,Mark,Sanchez,2006-03-11,male,gaineswilliam@yahoo.com,9185893682,^rBMo6cY76,858-37-0240,2025-02-23,Missouri,"01799 Byrd Stravenue Kevinmouth, AZ 55666",1
S066,Matthew,Durham,2003-07-05,male,sanchezmonica@hotmail.com,390.172.5243,q^0#(91nSH,367-55-8140,2025-01-19,Hawaii,"43275 Ponce Rapid Kimberlymouth, OR 85389",1
S067,Tiffany,Ramirez,2004-11-06,male,kevinschmidt@hotmail.com,233.211.3637,H6Y2Ths&^#,251-98-8412,2025-01-15,Nevada,"52097 Christopher Brook Suite 857 North Brianside, SC 95088",1
S068,Kevin,Lopez,2007-02-02,female,vsullivan@hotmail.com,(900)605-7068,sNSCEx)B%6,847-89-1242,2025-03-12,Oregon,"53815 Patrick Valley Suite 864 Jenniferfurt, KY 57710",1
S069,Christina,Rogers,2003-09-16,female,stephanie63@gmail.com,9082701014,!zLz3MtDgS,776-20-9850,2025-03-06,Massachusetts,"PSC 5299, Box 8200 APO AP 92237",1
S070,Samantha,Watkins,2002-05-05,female,joanne04@gmail.com,(341)767-2322,0kOzLGAm(L,140-43-4877,2025-02-07,Rhode Island,"228 Rachel Ville Apt. 853 Leahmouth, TX 07975",1
S071,William,Brown,2004-02-23,male,audreygarner@williams-galvan.com,071-799-5890,#1Q@kXpDfe,845-61-6846,2025-01-28,Minnesota,"852 Garcia View East Charlesburgh, MS 05288",1
S072,Kathryn,Ryan,2003-03-22,female,anne89@hotmail.com,+1-180-328-5982,(tX#OR8wS7,271-91-1256,2025-02-12,Louisiana,"047 Tran Prairie Port Angelaton, OK 57354",1
S073,Johnathan,Decker,2005-08-14,female,brianmartin@williams.net,277-238-5897,oAqJO95sp_,425-22-7886,2025-03-06,Minnesota,"552 Sullivan Viaduct Suite 987 Juliaberg, CA 28780",1
S074,Thomas,Frey,2007-03-09,male,waltersrobert@wright-richards.info,077-597-6022,u+9fVGOpNF,351-62-8993,2025-01-12,South Dakota,"04275 Timothy Hollow Suite 950 Debbieport, ME 62994",1
S075,Peter,Garcia,2003-08-18,female,carterelizabeth@yahoo.com,946-552-9896,#VKLu2d+u2,698-69-1535,2025-02-11,New Jersey,"8889 Hodges Lock Suite 568 Grantstad, CA 63616",1
S076,Annette,Stevens,2004-08-06,female,dreyes@hotmail.com,(382)245-2828,ptTumlPh%5,214-09-5759,2025-01-14,Pennsylvania,"669 Harold Center Suite 780 Stevenmouth, NY 98085",1
S077,Elizabeth,Mann,2004-10-09,male,david33@reed-pittman.com,(591)944-2716,&5+FI4xi3u,269-40-9961,2025-02-18,North Dakota,"6840 Tracy Park West Herbert, WV 30061",1
S078,David,Wright,2004-11-19,male,jeffrey55@anderson-khan.net,111.291.6144,s+c)@1JrKA,079-07-7540,2025-02-26,Arkansas,"00458 Amber Prairie New Robin, GA 52189",1
S079,Ashlee,Reed,2003-01-06,female,anthonypayne@weaver.info,417-254-5796,S%Kc1Hf6Qo,022-26-1434,2025-02-20,West Virginia,"18820 Roberson Gateway Apt. 949 Patricialand, ID 45553",1
S080,Tina,Perry,2007-02-16,male,laurenquinn@hotmail.com,797-406-6220,(sQUtJDm2A,790-69-0186,2025-01-20,North Dakota,"001 Michelle Fork Suite 971 Lake Casey, NE 33099",1
S081,Philip,Roman,2005-07-15,female,ireyes@decker.org,472.154.5598,V!42QUke^k,471-40-6892,2025-01-09,New Mexico,"3106 Butler Row Suite 201 South Meghan, MS 79832",1
S082,Patricia,Walsh,2003-02-09,female,jose80@mendoza-stanley.net,+1-174-210-3441,8*x4I&Hu6_,063-57-7655,2025-01-23,Oregon,"4905 Jennifer Locks Suite 379 Sherrimouth, CA 01298",1
S083,April,Jenkins,2003-03-07,male,sergiorasmussen@hotmail.com,4425437950,116EzGDTK$,530-92-7265,2025-01-29,Montana,"35216 Wood Spurs Suite 847 Lake Donnamouth, MN 19318",1
